"","coded_country","Political_score","Average_vaccinated","gdp_per_person","Ladder_score","Average_deaths_per_week","Average_labour_rate"
"66","France",1.39230680465698,81.9712054794521,38605.671,6.68989992141724,1476.20516194331,67.2916666666667
"67","Micronesia, Fed. Sts.",-0.803260207176208,NA,NA,NA,NA,NA
"68","Gabon",-0.847473442554474,4.84326086956522,16562.413,4.85179996490479,NA,NA
"69","United Kingdom",1.60419464111328,103.775393258427,39753.244,7.06360006332397,1349.96744505494,75.1333333333333
"70","Georgia",0.578812718391418,25.6733146067416,9745.079,4.89139986038208,NA,NA
"71","Ghana",-0.0901554822921753,5.19333333333333,4227.63,5.08839988708496,NA,NA
"72","Guinea",-1.14293134212494,8.28314960629921,1998.926,4.98430013656616,NA,NA
"73","Gambia, The",-0.673657119274139,NA,NA,NA,NA,NA
"74","Guinea-Bissau",-1.07567989826202,10.045,1548.675,NA,NA,NA
"75","Equatorial Guinea",-1.25789260864258,18.6088235294118,22604.873,NA,NA,NA
"76","Greece",0.451953709125519,75.9690751445087,24574.382,5.72259998321533,348.973481781378,57.3083333333333
"77","Grenada",0.279186755418777,28.0411320754717,13593.877,NA,NA,NA
"78","Greenland",1.0010347366333,77.7837391304348,NA,NA,NA,NA
"79","Guatemala",-0.724510610103607,23.2249826989619,7423.808,6.43450021743774,NA,NA
"80","French Guiana",1.18007099628448,NA,NA,NA,NA,NA
"81","Guam",-0.0274129752069712,NA,NA,NA,NA,NA
"82","Guyana",-0.0821348130702972,56.2967045454546,7435.047,NA,NA,NA
"83","Hong Kong SAR, China",1.64496850967407,NA,NA,NA,NA,NA
"84","Honduras",-0.520890951156616,26.2069811320755,4541.795,5.91919994354248,NA,NA
"85","Croatia",0.502175211906433,62.6641155234657,22669.797,5.88170003890991,NA,NA
"86","Haiti",-1.69178152084351,0.524166666666667,1653.173,3.6149001121521,NA,NA
"87","Hungary",0.65021163225174,41.0767832167832,26777.561,5.99160003662109,384.967155870445,73.0583333333333
"88","Indonesia",-0.321591943502426,32.3912537313433,11188.744,5.34450006484985,NA,NA
"89","India",0.0225540697574615,36.1360882352941,6426.674,3.8189001083374,NA,NA
"90","Ireland",1.45015203952789,108.495783972125,67335.293,7.08529996871948,280.081923076923,69.8666666666667
"91","Iran, Islamic Rep.",-0.452714681625366,NA,NA,NA,NA,NA
"92","Iraq",-1.07451224327087,13.2428571428571,15663.986,4.85410022735596,NA,NA
"93","Iceland",1.5774759054184,81.7295901639344,46482.958,7.55389976501465,11.7846933603649,79.6833333333333
"94","Israel",1.33679676055908,121.023671232877,33132.32,7.15710020065308,211.954720279721,66.59167
"95","Italy",0.403479129076004,85.2926849315068,35220.084,6.48309993743896,1589.26943319837,58.25
"96","Jamaica",0.291849315166473,28.3324107142857,8193.571,6.30919981002808,NA,NA
"97","Jordan",0.0920686945319176,51.2813157894737,8337.49,4.39459991455078,NA,NA
"98","Japan",1.46691274642944,80.2061129568106,39002.223,5.94049978256226,285.519230769231,77.82685
"99","Kazakhstan",-0.511159062385559,54.5576543209877,24055.588,6.15180015563965,NA,NA
"100","Kenya",-0.578526675701141,6.02747524752475,2993.028,4.60659980773926,NA,NA
"101","Kyrgyz Republic",-0.636238276958466,NA,NA,NA,NA,NA
